Curso,Disciplina,Ementa,Conteudo_Programatico
TÉCNICO EM ELETROMECÂNICA,Gestão e Qualidade,"Princípios, métodos e ferramentas para
gestão da qualidade em processos
industriais.",Fundamentos da gestão da | qualidade | Normas ISO e certificações | Controle estatístico de processos | Ferramentas da qualidade | Indicadores de desempenho e | melhoria contínua
TÉCNICO EM ELETROMECÂNICA,Eletrônica,"Conceitos fundamentais da eletrônica e
suas aplicações em sistemas
eletromecânicos.",Grandezas e leis elétricas | Componentes eletrônicos passivos e | ativos | Circuitos elétricos e eletrônicos | Medições elétricas e instrumentos | Aplicações em sistemas industriais
TÉCNICO EM ELETROMECÂNICA,Hidráulica e Pneumática,"Estudo dos princípios e aplicações de
sistemas hidráulicos e pneumáticos na
indústria.",Propriedades dos fluidos | Componentes hidráulicos e | pneumáticos | Circuitos e simbologia | Manutenção e diagnóstico de falhas | Normas de segurança aplicáveis
TÉCNICO EM ELETROMECÂNICA,"Controlador Lógico
Programável","Configuração, programação e aplicação
de CLPs em automação industrial.","Arquitetura de CLPs | Linguagens de programação | (Ladder, Lista de Instruções) | Sensores e atuadores | Integração com sistemas | supervisórios | Projetos práticos de automação"
TÉCNICO EM ELETROMECÂNICA,"Saúde e Segurança do
Trabalho","Normas e práticas de segurança
aplicadas a ambientes industriais.",Normas regulamentadoras (NRs) | Análise e prevenção de riscos | EPIs e EPCs | Prevenção e combate a incêndios | Primeiros socorros
TÉCNICO EM ELETROMECÂNICA,Desenho Técnico,"Interpretação e elaboração de desenhos
técnicos mecânicos e elétricos.",Normas técnicas de desenho | Leitura e interpretação de vistas e | cortes | Simbologia elétrica e mecânica | Escalas e cotagem | Desenho assistido por computador
TÉCNICO EM ELETROMECÂNICA,"Inovação e
Empreendedorismo","Desenvolvimento de habilidades
empreendedoras e estímulo à inovação
no setor industrial.",Conceitos de inovação e | empreendedorismo | Modelos de negócios | Propriedade intelectual e patentes | Captação de recursos e | investimentos | Estudos de caso de inovação
TÉCNICO EM ELETROMECÂNICA,"Fundamentos da
Comunicação Oral e
Escrita","Desenvolvimento de habilidades de
comunicação oral e escrita aplicadas ao
contexto técnico.",Técnicas de expressão oral | Redação técnica | Relatórios e documentação técnica | Apresentações eficazes | Comunicação em equipes de | trabalho
TÉCNICO EM ELETROMECÂNICA,"Materiais de Construção
Mecânica","Estudo das propriedades e aplicações de
materiais utilizados na construção
mecânica.","Classificação e propriedades dos | materiais | Metais ferrosos e não ferrosos | Polímeros, cerâmicas e compósitos | Tratamentos térmicos | Critérios de seleção de materiais"
TÉCNICO EM ELETROMECÂNICA,Elementos da Máquina I,"Análise e aplicação dos principais
elementos de máquinas.","Eixos, mancais e rolamentos | Engrenagens e acoplamentos | Parafusos e uniões | Molas e juntas | Critérios de dimensionamento"
TÉCNICO EM ELETROMECÂNICA,"Fundamentos da
Eletricidade Industrial","Estudo dos sistemas elétricos industriais
e seus componentes.",Leis elétricas aplicadas | Instalações elétricas industriais | Máquinas e equipamentos elétricos | Dispositivos de proteção e manobra | Manutenção e segurança
TÉCNICO EM ELETROMECÂNICA,Metrologia Dimensional,"Técnicas e instrumentos de medição
aplicados à indústria.",Conceitos de metrologia | Instrumentos de medição linear e | angular | Calibração e tolerâncias | Controle dimensional | Interpretação de resultados
TÉCNICO EM ELETROMECÂNICA,"Usinagem Aplicada à
Manutenção e Montagem","Processos de usinagem aplicados à
manutenção e montagem industrial.","Torneamento, fresamento e furação | Ferramentas de corte | Parâmetros de usinagem | Segurança na operação de | máquinas | Controle dimensional em peças | usinadas"
TÉCNICO EM ELETROMECÂNICA,"Instalações Elétricas
Prediais","Planejamento e execução de instalações
elétricas em edificações.",Normas e regulamentações | Dimensionamento de circuitos
TÉCNICO EM ELETROMECÂNICA,"Fundamentos da Gestão
da Manutenção","Planejamento e controle das atividades
de manutenção industrial.",Tipos de manutenção | Planejamento e programação | Controle de custos | Indicadores de desempenho | Ferramentas de gestão da | manutenção
TÉCNICO EM ELETROMECÂNICA,Elementos de Máquinas II,"Continuação do estudo dos elementos de
máquinas com foco em aplicações
complexas.",Transmissões por correia e corrente | Sistemas de freios e embreagens | Ajustes e tolerâncias | Lubrificação de elementos | mecânicos | Estudos de falhas
TÉCNICO EM ELETROMECÂNICA,Lubrificação e Ajustagem,"Técnicas de lubrificação e ajustes
mecânicos aplicados à manutenção.",Tipos de lubrificantes | Sistemas de lubrificação | Técnicas de ajuste de componentes | Prevenção de desgaste | Segurança na lubrificação
TÉCNICO EM ELETROMECÂNICA,Acionamento de Motores,"Sistemas e métodos de acionamento de
motores elétricos.",Tipos de motores elétricos | Partida direta e indireta | Controle de velocidade | Proteção de motores | Manutenção preventiva e corretiva
TÉCNICO EM ELETROMECÂNICA,Comandos Elétricos,"Estudo de circuitos e dispositivos de
comando elétrico.",Simbologia e diagramas elétricos | Dispositivos de manobra e proteção | Montagem de painéis elétricos | Lógica de comando | Testes e diagnóstico
TÉCNICO EM ELETROMECÂNICA,Autocad,"Utilização do software AutoCAD para
elaboração de projetos elétricos e
mecânicos.",Interface e comandos básicos | Criação e edição de desenhos | Camadas e blocos | Cotagem e anotações | Impressão e exportação de projetos
TÉCNICO EM ELETROMECÂNICA,Máquinas Elétricas,"Funcionamento, características e
aplicações de máquinas elétricas.",Transformadores: tipos e | funcionamento | Geradores e motores | Perdas e rendimento | Ensaios e manutenção | Aplicações industriais
