Curso,Disciplina,Ementa,Conteudo_Programatico
TÉCNICO EM ELETROTÉCNICA,Informática Básica,"Fundamentos de informática e uso de
ferramentas digitais aplicadas à área
eletrotécnica.",Sistemas operacionais e | gerenciamento de arquivos | Pacote Office | Navegação segura na internet | Softwares de projetos elétricos | Segurança da informação
TÉCNICO EM ELETROTÉCNICA,Inglês Técnico,"Vocabulário e leitura de textos técnicos
em inglês aplicados à eletrotécnica.",Vocabulário técnico de elétrica e | eletrônica | Leitura e interpretação de manuais | Tradução de especificações e | catálogos | Expressões em diagramas e esquemas | Leitura de artigos técnicos
TÉCNICO EM ELETROTÉCNICA,Desenho Técnico,"Elaboração e interpretação de desenhos
técnicos e diagramas elétricos.","Normas de desenho técnico | Escalas, cortes e vistas | Simbologia elétrica e eletrônica | Diagramas unifilares e multifilares | Softwares de desenho assistido"
TÉCNICO EM ELETROTÉCNICA,Eletricidade I,"Fundamentos da eletricidade e suas
aplicações práticas.","Grandezas e leis elétricas | Componentes e circuitos elétricos | Medições elétricas | Associação de resistores, capacitores e | indutores | Segurança em instalações elétricas"
TÉCNICO EM ELETROTÉCNICA,Eletricidade II,"Estudo avançado da eletricidade com
foco em aplicações industriais.","Circuitos trifásicos | Potência ativa, reativa e aparente | Fator de potência e correção | Dispositivos de proteção | Ensaios e diagnósticos elétricos"
TÉCNICO EM ELETROTÉCNICA,Eletrônica Digital I,"Fundamentos da eletrônica digital
aplicados a sistemas eletrotécnicos.",Sistemas de numeração | Portas lógicas | Flip-flops e contadores | Conversores A/D e D/A | Aplicações industriais
TÉCNICO EM ELETROTÉCNICA,Eletrônica Digital II,"Aprofundamento da eletrônica digital e
suas aplicações.",Circuitos sequenciais avançados | Memórias e microprocessadores | Interfaces de comunicação
TÉCNICO EM ELETROTÉCNICA,Eletrônica Linear I,"Estudo da eletrônica analógica e
dispositivos semicondutores.",Diodos e retificadores | Transistores | Fontes de alimentação | Amplificadores operacionais | Circuitos de filtragem
TÉCNICO EM ELETROTÉCNICA,Eletrônica Linear II,"Circuitos lineares aplicados a sistemas
de controle e potência.",Amplificadores de potência | Osciladores | Conversores AC/DC e DC/DC | Fontes chaveadas | Proteção de circuitos
TÉCNICO EM ELETROTÉCNICA,Instalações Elétricas I,"Planejamento e execução de instalações
elétricas de baixa tensão.",Normas NBR 5410 | Dimensionamento de condutores | Dispositivos de proteção | Sistemas de aterramento | Execução e inspeção de instalações
TÉCNICO EM ELETROTÉCNICA,Instalações Elétricas II,"Projetos e manutenção de instalações
elétricas industriais.",Quadros de distribuição | Circuitos de força e comando | Dispositivos de automação | Proteção contra surtos | Manutenção preditiva e corretiva
TÉCNICO EM ELETROTÉCNICA,Telecomunicações I,"Fundamentos e tecnologias básicas de
telecomunicações aplicadas à
eletrotécnica.",Princípios de transmissão e recepção | Modulação e demodulação | Cabos e conectores | Redes de dados | Normas de telecomunicações
TÉCNICO EM ELETROTÉCNICA,Telecomunicações II,"Sistemas de telecomunicações
industriais e integração com redes
elétricas.",Fibra óptica | Redes industriais | Integração de sistemas elétricos e de | dados | Protocolos de comunicação | Diagnóstico e manutenção de redes
TÉCNICO EM ELETROTÉCNICA,Automação Industrial,"Princípios e tecnologias de automação
aplicadas à eletrotécnica.",Sensores e atuadores | CLPs | Sistemas supervisórios | Automação de processos | Integração de sistemas
TÉCNICO EM ELETROTÉCNICA,"Máquinas e
Transformadores","Funcionamento, operação e
manutenção de máquinas elétricas e
transformadores.",Transformadores | Motores CA e CC | Geradores | Perdas e rendimento | Ensaios e manutenção
TÉCNICO EM ELETROTÉCNICA,Redes Elétricas,"Estudo das redes de distribuição
elétrica e suas aplicações.",Estrutura das redes de distribuição | Topologias de rede | Equipamentos de proteção e manobra | Monitoramento e manutenção | Normas técnicas aplicáveis
TÉCNICO EM ELETROTÉCNICA,Hidropneumática,"Sistemas que utilizam fluidos e ar
comprimido para acionamentos
industriais.",Princípios de hidráulica e pneumática | Componentes e simbologia | Projetos de sistemas | hidropneumáticos | Manutenção preventiva e corretiva | Segurança na operação
TÉCNICO EM ELETROTÉCNICA,Comandos Elétricos,"Montagem e análise de circuitos de
comando elétrico.",Dispositivos de manobra e proteção | Simbologia e diagramas | Lógica de acionamento | Montagem de painéis | Testes e diagnóstico de falhas
