Curso,Disciplina,Ementa,Conteudo_Programatico
TÉCNICO EM REFRIGERAÇÃO E CLIMATIZAÇÃO,"Fundamentos da
Refrigeração e Climatização","Estudo aprofundado dos princípios
físicos, ciclos termodinâmicos e
componentes dos sistemas de
refrigeração e climatização.",- Princípios físicos do frio | - Ciclo de compressão de vapor | detalhado | - Componentes do sistema | - Fluidos refrigerantes e impacto | ambiental | - Diagramas termodinâmicos | - Cálculo de carga térmica | - Aplicações práticas
TÉCNICO EM REFRIGERAÇÃO E CLIMATIZAÇÃO,Termodinâmica,"Aplicação das leis da termodinâmica
no funcionamento e eficiência de
sistemas frigoríficos.",- Primeira e segunda leis | - Propriedades das substâncias | - Calor sensível e latente | - Diagramas P-h | - Análise de ciclos | - COP | - Eficiência energética
TÉCNICO EM REFRIGERAÇÃO E CLIMATIZAÇÃO,Mecânica de Fluidos,"Estudo do comportamento dos
fluidos.",- Propriedades dos fluidos | - Pressão e empuxo | - Equação de Bernoulli | - Escoamento | - Perdas de carga | - Dimensionamento | - Bombas e ventiladores
TÉCNICO EM REFRIGERAÇÃO E CLIMATIZAÇÃO,Refrigeração Residencial,"Instalação e manutenção de sistemas
residenciais.",- Sistemas split e inverter | - Instalação | - Vácuo e carga de gás | - Testes | - Diagnóstico de falhas | - Manutenção preventiva | - Correções
TÉCNICO EM REFRIGERAÇÃO E CLIMATIZAÇÃO,Refrigeração Comercial,Sistemas comerciais.,- Equipamentos comerciais | - Controle de temperatura | - Manutenção | - Diagnóstico | - Normas sanitárias | - Dimensionamento básico | - Operação
TÉCNICO EM REFRIGERAÇÃO E CLIMATIZAÇÃO,Refrigeração Industrial,Sistemas industriais.,- Sistemas centralizados | - Amônia e CO2 | - Operação | - Manutenção | - Monitoramento | - Controle de processos | - Segurança
TÉCNICO EM REFRIGERAÇÃO E CLIMATIZAÇÃO,"Planejamento da
Manutenção",Gestão da manutenção.,- Tipos de manutenção | - Planos | - Indicadores | - Ordens de serviço | - Controle de estoque | - Paradas técnicas | - Documentação
TÉCNICO EM REFRIGERAÇÃO E CLIMATIZAÇÃO,Climatização,Sistemas de conforto térmico.,- Sistemas centrais | - Dutos | - Qualidade do ar | - Controle de umidade | - Filtragem | - Balanceamento | - Manutenção
TÉCNICO EM REFRIGERAÇÃO E CLIMATIZAÇÃO,Metrologia Dimensional,Medição e controle.,- Instrumentos | - Calibração | - Tolerâncias | - Medições | - Controle operacional | - Leitura de dados | - Registro
TÉCNICO EM REFRIGERAÇÃO E CLIMATIZAÇÃO,"Higiene e Segurança do
Trabalho",Segurança aplicada.,- NRs | - Riscos | - EPIs | - Manipulação de gases | - Prevenção | - Combate a incêndio | - Primeiros socorros
TÉCNICO EM REFRIGERAÇÃO E CLIMATIZAÇÃO,Projeto de Instalações,Projetos técnicos.,- Carga térmica | - Dimensionamento | - Seleção de equipamentos | - Layout | - Leitura de projetos | - Normas | - Apresentação
TÉCNICO EM REFRIGERAÇÃO E CLIMATIZAÇÃO,Automação Aplicada,Controle automatizado.,- Sensores | - Controladores | - CLP | - Supervisórios | - Monitoramento remoto | - Integração | - Diagnóstico
TÉCNICO EM REFRIGERAÇÃO E CLIMATIZAÇÃO,"Manutenção de
Compressores",Manutenção de compressores.,- Tipos | - Funcionamento | - Diagnóstico | - Manutenção | - Lubrificação | - Montagem | - Testes
TÉCNICO EM REFRIGERAÇÃO E CLIMATIZAÇÃO,Eletrônica Aplicada,Eletrônica aplicada.,- Componentes | - Circuitos | - Placas | - Medições | - Diagnóstico | - Proteção | - Aplicações
TÉCNICO EM REFRIGERAÇÃO E CLIMATIZAÇÃO,Conservação de Energia,Eficiência energética.,- Consumo | - Eficiência | - Economia | - Isolamento | - Manutenção | - Normas | - Sustentabilidade
