Curso,Disciplina,Ementa,Conteudo_Programatico
TÉCNICO EM SECRETARIA ESCOLAR,Português Instrumental,"Aprimoramento da comunicação escrita
e oral no contexto da gestão escolar.",Ortografia e gramática aplicadas | Leitura e interpretação de textos | Redação oficial e administrativa | Produção de relatórios e memorandos | Vocabulário técnico da área | educacional
TÉCNICO EM SECRETARIA ESCOLAR,"Informática Aplicada ao
Trabalho","Uso de ferramentas digitais para
execução das atividades administrativas
escolares.",Pacote Office aplicado à gestão escolar | Sistemas acadêmicos e administrativos | Segurança digital e proteção de dados | Organização de arquivos eletrônicos | Ferramentas de colaboração online
TÉCNICO EM SECRETARIA ESCOLAR,"Fundamentos da
Educação","Conceitos básicos e estrutura do sistema
educacional brasileiro.",História da educação no Brasil | Princípios e funções da educação | Estrutura administrativa da educação | Legislação educacional básica | Políticas públicas educacionais
TÉCNICO EM SECRETARIA ESCOLAR,Legislação Educacional,"Normas e regulamentos que regem o
funcionamento das instituições de
ensino.",Constituição Federal e artigos da | educação | LDB - Lei de Diretrizes e Bases | Regimentos escolares | Direitos e deveres da comunidade | escolar | Documentação e registros obrigatórios
TÉCNICO EM SECRETARIA ESCOLAR,"Procedimentos de
Matrícula Escolar","Processos administrativos relacionados
à matrícula e transferência de alunos.",Fluxo de matrícula e rematrícula | Documentação exigida | Registro e atualização de dados | Transferências e cancelamentos | Uso de sistemas informatizados
TÉCNICO EM SECRETARIA ESCOLAR,"Estrutura e
Funcionamento de
Ensino","Organização e funcionamento das
instituições escolares.",Modalidades e níveis de ensino | Organização curricular | Calendário escolar | Atividades pedagógicas e | administrativas | Interação entre setores da escola
TÉCNICO EM SECRETARIA ESCOLAR,Técnicas Secretariais,"Métodos e práticas administrativas
aplicadas à secretaria escolar.",Rotinas administrativas | Atendimento ao público | Organização de documentos
TÉCNICO EM SECRETARIA ESCOLAR,"Técnica de Arquivo
Escolar","Procedimentos para organização e
conservação de arquivos escolares.",Tipos de arquivos e documentos | Classificação e ordenação | Métodos de arquivamento físico e | digital | Conservação e restauração de | documentos | Acesso e controle de arquivos
TÉCNICO EM SECRETARIA ESCOLAR,"Gerenciamento da
Informação na
Secretaria Escolar","Gestão de informações e dados
administrativos escolares.",Coleta e organização de dados | Uso de sistemas de gestão escolar | Relatórios e indicadores | Proteção de dados sensíveis | Fluxo de informações na escola
TÉCNICO EM SECRETARIA ESCOLAR,"Gerenciamento de
Recursos Humanos e
Materiais","Administração de pessoal e recursos
materiais da instituição escolar.",Controle de frequência e folha de | pagamento | Contratação e desligamento de pessoal | Controle de estoque de materiais | Aquisição e distribuição de recursos | Manutenção de infraestrutura
TÉCNICO EM SECRETARIA ESCOLAR,"Matemática: Estatística
e Indicadores
Educacionais","Uso de conceitos matemáticos e
estatísticos na gestão escolar.",Operações matemáticas aplicadas | Medidas de tendência central | Indicadores de desempenho escolar | Análise e interpretação de gráficos | Aplicações em relatórios escolares
TÉCNICO EM SECRETARIA ESCOLAR,Técnica de Escrituração,"Registros e escrituração de documentos
escolares.",Livros e atas escolares | Preenchimento de formulários | Registro de notas e frequências | Protocolos e autenticações | Normas de arquivamento
TÉCNICO EM SECRETARIA ESCOLAR,Psicologia Educacional,"Estudo dos aspectos psicológicos
relacionados ao processo de
ensino-aprendizagem.",Desenvolvimento cognitivo e | socioemocional | Teorias da aprendizagem | Relação professor-aluno | Motivação e desempenho escolar | Intervenções psicopedagógicas
TÉCNICO EM SECRETARIA ESCOLAR,Método de Pesquisa,"Procedimentos metodológicos para
elaboração de trabalhos e projetos
escolares.",Etapas da pesquisa | Tipos de pesquisa | Coleta e análise de dados | Estrutura de trabalhos acadêmicos | Normas da ABNT
