Curso,Disciplina,Ementa,Conteudo_Programatico
TÉCNICO EM LOGÍSTICA,Introdução à Logística,"Conceitos fundamentais de logística,
cadeia de suprimentos, funções logísticas
e sua importância estratégica nas
organizações.",Conceito de logística | Evolução da logística | Cadeia de suprimentos | Atividades logísticas principais
TÉCNICO EM LOGÍSTICA,"Gestão de Estoques e
Armazenagem","Técnicas e métodos de controle e
movimentação de estoques e organização
de armazéns.",Classificação de materiais | Sistemas de controle de estoque | Layout de armazéns | Inventário físico e rotativo
TÉCNICO EM LOGÍSTICA,"Logística de
Suprimentos","Planejamento e controle da aquisição de
materiais, negociação e gestão de
fornecedores.",Processo de compras | Seleção de fornecedores | Gestão de contratos | Follow-up e avaliação de desempenho
TÉCNICO EM LOGÍSTICA,"Comunicação
Empresarial","Redação empresarial, técnicas de
comunicação verbal e escrita no ambiente
organizacional.",Redação de documentos | Técnicas de apresentação | Comunicação organizacional | Uso de e-mails e mensagens corporativas
TÉCNICO EM LOGÍSTICA,Gestão de Transportes,"Planejamento, controle e execução dos
serviços de transporte, tipos de modais e
roteirização.",Modais de transporte | Gestão de frotas | Roteirização | Legislação de transportes
TÉCNICO EM LOGÍSTICA,"Distribuição e Logística
Reversa","Gestão da distribuição física de produtos e
retorno de mercadorias.",Centros de distribuição | Canal de distribuição | Logística reversa | Sustentabilidade na cadeia logística
TÉCNICO EM LOGÍSTICA,"Planejamento e
Controle da Produção
(PCP)","Fundamentos de PCP, programação e
controle da produção.",Previsão de demanda | Planejamento de capacidade | Controle de estoques de produção | Indicadores de desempenho
TÉCNICO EM LOGÍSTICA,"Legislação Aplicada à
Logística","Normas legais referentes a transporte,
armazenagem e distribuição.",Legislação de transporte | Direitos do consumidor | Documentação fiscal | Responsabilidade jurídica
TÉCNICO EM LOGÍSTICA,"Sistemas de Informação
Logística","Ferramentas tecnológicas aplicadas à
gestão logística.",ERP e logística | Sistemas de armazenagem (WMS) | Sistemas de transporte (TMS) | Automação e rastreamento
TÉCNICO EM LOGÍSTICA,Logística Internacional,"Processos de importação, exportação e
transporte internacional.",Comércio internacional | Incoterms | Transporte internacional | Documentação e desembaraço aduaneiro
TÉCNICO EM LOGÍSTICA,"Sustentabilidade e
Logística Verde","Práticas sustentáveis aplicadas à cadeia de
suprimentos.",Conceito de logística verde | Gestão de resíduos | Transporte sustentável | Responsabilidade socioambiental
TÉCNICO EM LOGÍSTICA,"Empreendedorismo e
Inovação em Logística","Criação de negócios e aplicação de
inovações logísticas.",Plano de negócio logístico | Startups e inovação | Tendências tecnológicas | Design thinking
