Curso,Disciplina,Ementa,Conteudo_Programatico
TÉCNICO EM SEGURANÇA DO TRABALHO,"Fundamentos da
Segurança do Trabalho","Estudo dos conceitos básicos de segurança,
saúde e meio ambiente no trabalho.",Conceitos fundamentais | Legislação aplicável | Técnicas e práticas de segurança | Estudos de caso | Aplicações práticas em campo
TÉCNICO EM SEGURANÇA DO TRABALHO,"Legislação e Normas
Regulamentadoras (NRs)","Análise da legislação trabalhista com foco nas
Normas Regulamentadoras.",Conceitos fundamentais | Legislação aplicável | Técnicas e práticas de segurança | Estudos de caso | Aplicações práticas em campo
TÉCNICO EM SEGURANÇA DO TRABALHO,Higiene Ocupacional I,"Identificação de agentes ambientais nos
ambientes laborais.",Conceitos fundamentais | Legislação aplicável | Técnicas e práticas de segurança | Estudos de caso | Aplicações práticas em campo
TÉCNICO EM SEGURANÇA DO TRABALHO,Ergonomia Aplicada,"Estudo da ergonomia aplicada à segurança e
conforto no trabalho.",Conceitos fundamentais | Legislação aplicável | Técnicas e práticas de segurança | Estudos de caso | Aplicações práticas em campo
TÉCNICO EM SEGURANÇA DO TRABALHO,"Comunicação e
Relacionamento
Interpessoal","Desenvolvimento das habilidades
comunicativas e relações no ambiente
profissional.",Conceitos fundamentais | Legislação aplicável | Técnicas e práticas de segurança | Estudos de caso | Aplicações práticas em campo
TÉCNICO EM SEGURANÇA DO TRABALHO,Primeiros Socorros,"Técnicas básicas de atendimento a
emergências em ambientes de trabalho.",Conceitos fundamentais | Legislação aplicável | Técnicas e práticas de segurança | Estudos de caso | Aplicações práticas em campo
TÉCNICO EM SEGURANÇA DO TRABALHO,"Prevenção e Controle de
Riscos Ambientais","Estudo das medidas preventivas e de controle
dos riscos ocupacionais.",Conceitos fundamentais | Legislação aplicável | Técnicas e práticas de segurança | Estudos de caso | Aplicações práticas em campo
TÉCNICO EM SEGURANÇA DO TRABALHO,Higiene Ocupacional II,"Identificação de agentes ambientais nos
ambientes laborais.",Conceitos fundamentais | Legislação aplicável | Técnicas e práticas de segurança | Estudos de caso | Aplicações práticas em campo
TÉCNICO EM SEGURANÇA DO TRABALHO,"Segurança em Máquinas e
Equipamentos","Prevenção de acidentes com máquinas e
equipamentos industriais.",Conceitos fundamentais | Legislação aplicável | Técnicas e práticas de segurança | Estudos de caso | Aplicações práticas em campo
TÉCNICO EM SEGURANÇA DO TRABALHO,"Psicologia Organizacional e
Segurança
Comportamental","Compreensão dos fatores psicológicos que
influenciam a segurança no trabalho.",Conceitos fundamentais | Legislação aplicável | Técnicas e práticas de segurança | Estudos de caso | Aplicações práticas em campo
TÉCNICO EM SEGURANÇA DO TRABALHO,"Meio Ambiente e
Sustentabilidade","Estudo do impacto ambiental das atividades
humanas e sua mitigação.",Conceitos fundamentais | Legislação aplicável | Técnicas e práticas de segurança | Estudos de caso | Aplicações práticas em campo
TÉCNICO EM SEGURANÇA DO TRABALHO,"Combate a Incêndios e
Plano de Emergência","Prevenção e resposta a situações de
emergência por incêndios.",Conceitos fundamentais | Legislação aplicável | Técnicas e práticas de segurança | Estudos de caso | Aplicações práticas em campo
TÉCNICO EM SEGURANÇA DO TRABALHO,"Gestão de Saúde e
Segurança do Trabalho","Gestão e planejamento de ações de
segurança do trabalho.",Conceitos fundamentais | Legislação aplicável | Técnicas e práticas de segurança | Estudos de caso | Aplicações práticas em campo
TÉCNICO EM SEGURANÇA DO TRABALHO,"Análise e Investigação de
Acidentes","Técnicas e metodologias para investigação e
prevenção de acidentes.",Conceitos fundamentais | Legislação aplicável | Técnicas e práticas de segurança | Estudos de caso | Aplicações práticas em campo
TÉCNICO EM SEGURANÇA DO TRABALHO,"Gerenciamento de Riscos
Ocupacionais","Identificação e gerenciamento dos riscos
ocupacionais.",Conceitos fundamentais | Legislação aplicável | Técnicas e práticas de segurança | Estudos de caso | Aplicações práticas em campo
TÉCNICO EM SEGURANÇA DO TRABALHO,"Saúde Ocupacional e
Qualidade de Vida no
Trabalho","Promoção da saúde e bem-estar no ambiente
laboral.",Conceitos fundamentais | Legislação aplicável | Técnicas e práticas de segurança | Estudos de caso | Aplicações práticas em campo
